python -m unittest tests.unit.rogw.tranp.implements.cpp.transpiler.test_py2cpp --
         6714292 function calls (6403354 primitive calls) in 2.408 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     6571    0.001    0.000    0.001    0.000 node.py:452(match_feature)
      468    0.001    0.000    0.001    0.000 template.py:449(__resolve_injector)
      853    0.001    0.000    0.005    0.000 primary.py:867(in_decl_import)
 1413/888    0.001    0.000    0.039    0.000 parser.py:586(parse_math1)
     1023    0.001    0.000    0.001    0.000 compiler.py:1434(_output_child_to_const)
     2497    0.001    0.000    0.001    0.000 serializer.py:100(<lambda>)
      189    0.001    0.000    0.011    0.000 parser.py:864(parse_call_args)
     1235    0.001    0.000    0.004    0.000 traits.py:155(_actualize_template)
      474    0.001    0.000    0.029    0.000 naming.py:87(accessible_name)
     1167    0.001    0.000    0.014    0.000 template.py:241(unpack_symbols)
 1447/918    0.001    0.000    0.037    0.000 parser.py:607(parse_math2)
     4204    0.001    0.000    0.001    0.000 lexer.py:528(<genexpr>)
      416    0.001    0.000    0.001    0.000 di.py:176(__to_annotated)
      178    0.001    0.000    0.073    0.000 py2cpp.py:853(on_var_of_type)
   139/94    0.001    0.000    0.053    0.001 parser.py:255(parse_if)
      587    0.001    0.000    0.001    0.000 reflection.py:279(instantiate)
     7584    0.001    0.000    0.001    0.000 entry.py:78(empty_name)
      418    0.001    0.000    0.001    0.000 <frozen _collections_abc>:473(__new__)
      625    0.001    0.000    0.001    0.000 reader.py:99(forward)
     1032    0.001    0.000    0.001    0.000 module.py:66(expand_elements)
      886    0.001    0.000    0.001    0.000 move_assign_declare.j2:4(root)
      717    0.001    0.000    0.001    0.000 parser.py:998(flush_data)
        1    0.001    0.001    0.001    0.001 parse_tree_builder.py:358(create_callback)
     1020    0.001    0.000    0.001    0.000 finder.py:255(__find_raw_recursive)
